id,sentence,referenced_term,correct_answer,surprisal_sentence_mean,surprisal_sentence_std,surprisal_sentence_min,surprisal_sentence_max,surprisal_sentence_sum,surprisal_sentence_middle,surprisal_sentence_median,surprisal_query_mean,surprisal_query_std,surprisal_query_min,surprisal_query_max,surprisal_query_sum,surprisal_query_middle,surprisal_query_median,surprisal_phrase_mean,surprisal_phrase_std,surprisal_phrase_min,surprisal_phrase_max,surprisal_phrase_sum,surprisal_phrase_middle,surprisal_phrase_median,surprisal_context_mean,surprisal_context_std,surprisal_context_min,surprisal_context_max,surprisal_context_sum,surprisal_context_middle,surprisal_context_median,surprisal_position_sentenceMax,surprisal_position_sentenceMin,surprisal_positional_sentenceMax_in_expression,surprisal_positional_sentenceMin_in_expression,surprisal_drops_within_expression,surprisal_spikes_within_expression,surprisal_relational_sumPhrase_sumSentence,surprisal_relational_maxPhrase_maxSentence,surprisal_relational_minPhrase_minSentence,cws_sentence_mean,cws_sentence_std,cws_sentence_min,cws_sentence_max,cws_sentence_sum,cws_sentence_middle,cws_sentence_median,cws_query_mean,cws_query_std,cws_query_min,cws_query_max,cws_query_sum,cws_query_middle,cws_query_median,cws_phrase_mean,cws_phrase_std,cws_phrase_min,cws_phrase_max,cws_phrase_sum,cws_phrase_middle,cws_phrase_median,cws_context_mean,cws_context_std,cws_context_min,cws_context_max,cws_context_sum,cws_context_middle,cws_context_median,cws_position_sentenceMax,cws_position_sentenceMin,cws_positional_sentenceMax_in_expression,cws_positional_sentenceMin_in_expression,cws_drops_within_expression,cws_spikes_within_expression,cws_relational_sumPhrase_sumSentence,cws_relational_maxPhrase_maxSentence,cws_relational_minPhrase_minSentence,vanilla_entropy_sentence_mean,vanilla_entropy_sentence_std,vanilla_entropy_sentence_min,vanilla_entropy_sentence_max,vanilla_entropy_sentence_sum,vanilla_entropy_sentence_middle,vanilla_entropy_sentence_median,vanilla_entropy_query_mean,vanilla_entropy_query_std,vanilla_entropy_query_min,vanilla_entropy_query_max,vanilla_entropy_query_sum,vanilla_entropy_query_middle,vanilla_entropy_query_median,vanilla_entropy_phrase_mean,vanilla_entropy_phrase_std,vanilla_entropy_phrase_min,vanilla_entropy_phrase_max,vanilla_entropy_phrase_sum,vanilla_entropy_phrase_middle,vanilla_entropy_phrase_median,vanilla_entropy_context_mean,vanilla_entropy_context_std,vanilla_entropy_context_min,vanilla_entropy_context_max,vanilla_entropy_context_sum,vanilla_entropy_context_middle,vanilla_entropy_context_median,vanilla_entropy_position_sentenceMax,vanilla_entropy_position_sentenceMin,vanilla_entropy_positional_sentenceMax_in_expression,vanilla_entropy_positional_sentenceMin_in_expression,vanilla_entropy_drops_within_expression,vanilla_entropy_spikes_within_expression,vanilla_entropy_relational_sumPhrase_sumSentence,vanilla_entropy_relational_maxPhrase_maxSentence,vanilla_entropy_relational_minPhrase_minSentence,cis_sentence_mean,cis_sentence_std,cis_sentence_min,cis_sentence_max,cis_sentence_sum,cis_sentence_middle,cis_sentence_median,cis_query_mean,cis_query_std,cis_query_min,cis_query_max,cis_query_sum,cis_query_middle,cis_query_median,cis_phrase_mean,cis_phrase_std,cis_phrase_min,cis_phrase_max,cis_phrase_sum,cis_phrase_middle,cis_phrase_median,cis_context_mean,cis_context_std,cis_context_min,cis_context_max,cis_context_sum,cis_context_middle,cis_context_median,cis_position_sentenceMax,cis_position_sentenceMin,cis_positional_sentenceMax_in_expression,cis_positional_sentenceMin_in_expression,cis_drops_within_expression,cis_spikes_within_expression,cis_relational_sumPhrase_sumSentence,cis_relational_maxPhrase_maxSentence,cis_relational_minPhrase_minSentence
0,She is attracted to blue jacket.,blue jacket,Sailor,7.331620269329765,5.137214255793159,0.04934688258655121,14.1204019617354,51.32134188530836,12.331188767337318,5.155934286506192,5.734861097480088,7.57581778926682,7.184145508210135e-05,35.57911074460371,258.068749386604,0.263552489504686,2.8837416822661597,8.355193698496953,5.765208263238447,2.5899854352585057,14.1204019617354,16.710387396993905,2.5899854352585057,8.355193698496953,7.363755050452064,5.277982434845849,0.04934688258655121,12.442257334530446,29.455020201808257,0.04934688258655121,8.48170799234563,4.0,2.0,1.0,1.0,1.0,0.0,0.3256030879772758,1.0,52.4852898400591,11.463328357528827,6.46290720842361,0.22146505131769603,19.277272861887514,80.24329850270179,18.13215193343523,10.220806960270378,9.079128772878347,9.531659150571587,0.05277085781703925,42.35655056128361,408.5607947795256,1.2290002378950748,6.782595966159738,13.029934414023625,6.247338447863888,6.782595966159738,19.277272861887514,26.05986882804725,6.782595966159738,13.029934414023625,10.99065567859604,7.193393937978178,0.22146505131769603,18.13215193343523,43.96262271438416,0.22146505131769603,12.804502864815616,4.0,2.0,1.0,1.0,1.0,0.0,0.3247606879865465,1.0,30.626032982648663,3.8656780294009616,1.849987930658816,0.23622840642929077,5.942853927612305,27.059746205806732,0.23622840642929077,3.9200878143310547,1.980627829414637,1.9486813334903261,0.0006652172887697816,7.6333794593811035,89.12825232365867,0.5335593223571777,1.7552409172058105,3.275020480155945,0.6450673341751099,2.629953145980835,3.9200878143310547,6.55004096031189,3.9200878143310547,3.275020480155945,4.251749739050865,2.329123067207754,0.23622840642929077,5.942853927612305,17.00699895620346,5.331634044647217,5.413958311080933,0.0,3.0,0.0,0.0,0.0,0.0,0.24205847721167173,0.6596305179430939,11.133094388324748,5.5706595693315775,3.1827550104382336,0.0030007362365722656,9.320496559143066,38.994616985321045,8.591536521911621,6.56746768951416,9.009924260052768,4.564539302340908,0.0030007362365722656,20.18520736694336,396.4366674423218,7.809553146362305,8.741435050964355,2.1984198093414307,2.1954190731048584,0.0030007362365722656,4.393838882446289,4.396839618682861,0.0030007362365722656,2.1984198093414307,6.319320201873779,2.3570387122103726,2.4302730560302734,8.591536521911621,25.277280807495117,6.56746768951416,7.127735614776611,6.0,5.0,0.0,0.0,1.0,0.0,0.112755040531312,0.47141682361720244,1.0
1,His lovely voice caught my ear.,voice,Giving attention,5.760668483491336,4.169026322121244,2.0378557564480873,14.328253869941921,40.32467938443935,2.0378557564480873,3.714105657269386,6.684871002912678,7.367479352923167,7.184145508210135e-05,34.83414857045609,314.1889371368959,8.534295126221965,3.844385367640611,9.199768704763919,0.0,9.199768704763919,9.199768704763919,9.199768704763919,9.199768704763919,9.199768704763919,5.81741098464547,4.380927295265239,2.3140570362610666,14.328253869941921,29.087054923227345,3.714105657269386,3.714105657269386,0.0,3.0,0.0,0.0,1.0,0.0,0.22814238935558562,0.6420718664165608,4.514435663885652,10.345991256826293,4.04391235694219,5.936440541145341,17.890448189960043,72.42193879778407,5.936440541145341,9.955811573298517,10.643007382106996,9.250745310004056,0.05277085781703925,41.611095253960094,500.2213469590288,14.645713440272367,9.955811573298517,14.178345027870087,0.0,14.178345027870087,14.178345027870087,14.178345027870087,14.178345027870087,14.178345027870087,10.461430645753726,4.0068662531018555,6.576150998729926,17.890448189960043,52.30715322876863,9.955811573298517,9.955811573298517,0.0,3.0,0.0,0.0,1.0,0.0,0.19577417096577246,0.7925092137058279,2.3883579612396155,4.04653936624527,1.9663984174398736,0.6745919585227966,7.109545707702637,28.32577556371689,4.253442764282227,4.253442764282227,2.0355073939005726,1.9648816764122008,0.0006652172887697816,7.6333794593811035,95.66884751332691,1.9736777544021606,1.667216420173645,4.4796061515808105,0.0,4.4796061515808105,4.4796061515808105,4.4796061515808105,4.4796061515808105,4.4796061515808105,3.91854532957077,2.3132138218923477,0.6745919585227966,7.109545707702637,19.59272664785385,2.9966142177581787,2.9966142177581787,1.0,5.0,0.0,0.0,1.0,0.0,0.1581459311327326,0.6300833183655473,6.64046775978494,8.318360362734113,3.2330087205207763,2.1550447940826416,13.234399795532227,58.228522539138794,9.941441535949707,8.55700969696045,8.351766508558523,4.832403707277784,-1.7245173454284668,18.01372718811035,384.181259393692,8.71673583984375,8.567091464996338,8.55700969696045,0.0,8.55700969696045,8.55700969696045,8.55700969696045,8.55700969696045,8.55700969696045,7.946014261245727,3.735822897641218,2.1550447940826416,13.234399795532227,39.73007130622864,7.715874671936035,7.715874671936035,6.0,1.0,0.0,0.0,1.0,0.0,0.14695563829923355,0.6465733111560671,3.9706876258240342
2,A hotel worker coming out of the lift said a couple of rooms have complained about the heat to the receptionist.,couple of rooms,Customers,5.539034586770721,4.4359998044507005,0.13015763440091163,15.066853356679337,127.39779549572658,6.06095027509925,4.838308152230129,5.591937127411673,6.6248364018166965,2.6222985847199645e-05,37.27411166523546,341.10816477211205,0.7531293048447468,3.911063930726245,3.823236492124757,2.353603378394879,0.5704510490448924,6.06095027509925,11.469709476374272,6.06095027509925,4.838308152230129,5.410223528636923,4.407825726205109,0.13015763440091163,15.066853356679337,102.79424704410154,5.937222996967714,4.213264327293285,2.0,4.0,0.0,0.0,0.0,1.0,0.0900306746419251,0.40227047623134593,4.382770566402495,9.613324113586712,5.568222412003603,0.5393276339309538,19.746613192593177,221.1064546124944,10.819847938312558,10.390730761831414,9.321120297693476,8.42944058751544,0.05271503601273881,44.048347876225876,568.588338159302,2.8874578200158467,7.5873327690724,7.69126980036012,4.124767888103654,1.8632307009363884,10.819847938312558,23.07380940108036,10.819847938312558,10.390730761831414,9.439731594082756,5.4688449315387295,0.5393276339309538,19.746613192593177,179.35490028757238,10.513374096938684,8.871028319108659,2.0,4.0,0.0,0.0,0.0,1.0,0.1043561095560007,0.5479343638721302,3.45472878397869,3.2053266167640686,1.5653254847736446,0.5059192776679993,6.925832748413086,73.72251218557358,2.134321451187134,2.7439944744110107,2.1238687391799385,1.8230145268182911,0.00023976672673597932,7.633382320404053,129.55599308997625,1.5828509330749512,1.9606704711914062,3.830414374669393,1.207634342420513,2.134321451187134,4.851731300354004,11.491243124008179,2.134321451187134,4.505190372467041,3.1365997759919417,1.6285970972984722,0.5059192776679993,6.925832748413086,59.59539574384689,2.233581781387329,2.7439944744110107,1.0,5.0,0.0,0.0,0.0,0.0,0.15587156193324686,0.7005267780204019,4.218699593787263,5.742953567401223,3.7551210044827954,0.44188880920410156,14.700923919677734,132.08793205022812,2.470548152923584,4.755743503570557,8.552379650870959,5.705480048769365,-1.069594383239746,23.83047103881836,513.1427790522575,9.830957412719727,8.326091289520264,7.571577866872151,3.8000545155633336,2.470548152923584,11.58675765991211,22.714733600616455,2.470548152923584,8.657427787780762,5.733226823179345,3.5752478591984964,0.5881549715995789,14.700923919677734,108.93130964040756,10.917037963867188,4.755743503570557,20.0,13.0,0.0,0.0,0.0,0.0,0.17196675917357,0.7881652692864292,5.590881917497205
3,You just have to be thick-skinned to handle it.,thick-skinned,coldhearted,3.926094745624981,3.308644020188767,0.000561993460985047,11.890596132544925,47.11313694749977,0.000561993460985047,3.3400090098105335,5.166104428751999,6.552517485556624,1.4153292399867653e-05,33.500499173731825,273.80353472385593,0.02563999107140816,2.9274011181590476,1.1447763272168663,1.0402123920636994,0.000561993460985047,2.517597487806053,3.434328981650599,0.000561993460985047,0.9161695003835606,4.924220278262209,3.4787443619255445,0.25116104472041395,11.890596132544925,39.39376222609767,11.890596132544925,5.008579234186753,4.0,6.0,0.0,0.0,0.0,0.0,0.07289535794395567,0.21173013192461496,1.0,7.634582642541833,4.7638465260879075,0.05406051869179371,16.764285294407777,91.614991710502,0.05406051869179371,7.489750333758584,8.670171907008747,8.58377671102956,0.052697779715211,40.3044152230041,459.5191110714636,0.1439725944635758,7.118335586463374,3.492234017749313,2.887038075930464,0.05406051869179371,7.118335586463374,10.476702053247939,0.05406051869179371,3.3043059480927717,8.978277124272164,4.724809388946356,0.9030259688155622,16.764285294407777,71.82621699417732,16.764285294407777,9.685345109969207,4.0,6.0,0.0,0.0,0.0,0.0,0.11435576053266154,0.42461312614608776,1.0,3.1092923210235313,1.6440559954011669,0.003865630831569433,5.94284725189209,37.311507852282375,1.9710489511489868,2.9080315828323364,1.8177322165165777,1.8499090665850169,0.00013190785830374807,7.633382797241211,96.33980747537862,0.11758344620466232,1.1000810861587524,2.152812650272002,1.833323374667559,0.003865630831569433,4.483523368835449,6.4584379508160055,1.9710489511489868,1.9710489511489868,3.5359209924936295,1.493974182201338,1.0591946840286255,5.94284725189209,28.287367939949036,5.173038482666016,3.228791356086731,0.0,7.0,0.0,0.0,1.0,0.0,0.1730950669800105,0.7544402840587868,1.0,10.075416505336761,5.501765600052962,-2.5590484142303467,18.690492630004883,120.90499806404114,14.399321556091309,9.73138952255249,10.739863106837639,5.919361939203398,-2.5688300132751465,24.825729370117188,558.4728815555573,16.039155960083008,10.369122982025146,17.135021527608234,1.940488329266089,14.399321556091309,18.690492630004883,51.40506458282471,14.399321556091309,18.315250396728516,7.186121731996536,4.060357451453443,-2.5590484142303467,11.563786506652832,57.48897385597229,5.898125648498535,8.232887744903564,5.0,1.0,1.0,1.0,0.0,0.0,0.42516906170906515,1.0,-5.6268265485012385
4,She showed off her new diamond.,diamond,jewelery,5.698327586922498,3.339483767111435,0.7573631571835906,10.08617644815693,39.88829310845749,1.7240075706224616,5.850479149322962,5.318399582700326,7.241933781328627,5.857029284272052e-05,36.52629496917345,234.00958163881435,2.5276489723277424,2.1029566923107414,10.08617644815693,0.0,10.08617644815693,10.08617644815693,10.08617644815693,10.08617644815693,10.08617644815693,4.672136364827755,3.255588877029029,0.7573631571835906,9.905209101432224,23.360681824138773,0.7573631571835906,5.123622845577534,5.0,2.0,1.0,1.0,1.0,0.0,0.2528605679047812,1.0,13.31749023237998,9.857818848634869,4.60606142419419,2.534355326015627,16.11654692628847,69.00473194044407,4.119313486203845,10.34485435079886,8.728898827077025,9.136405954413597,0.05277085781703925,43.29623002668963,384.0715483913891,7.651086005457454,5.999677812909656,16.11654692628847,0.0,16.11654692628847,16.11654692628847,16.11654692628847,16.11654692628847,16.11654692628847,8.255443858361092,4.3226700948845735,2.534355326015627,14.267010552483264,41.277219291805466,2.534355326015627,10.011685576303869,5.0,2.0,1.0,1.0,1.0,0.0,0.2335571267807863,1.0,6.359229410670686,4.306186471666608,1.4102529340244954,2.160885810852051,5.942853927612305,30.14330530166626,2.3220887184143066,5.0009942054748535,1.894596171818028,1.9880401650977808,0.0005031600594520569,7.6333794593811035,83.36223155999323,1.5374397039413452,1.4143959283828735,5.0009942054748535,0.0,5.0009942054748535,5.0009942054748535,5.0009942054748535,5.0009942054748535,5.0009942054748535,4.596285057067871,1.2973692386489428,2.3220887184143066,5.942853927612305,22.981425285339355,4.053215503692627,5.166984558105469,0.0,6.0,0.0,0.0,1.0,0.0,0.16590729369013188,0.8415139033181878,2.314325995552227,7.236602510724749,4.570864737621639,2.0551304817199707,16.272552490234375,50.65621757507324,4.027498245239258,6.161871433258057,10.801746094989221,5.249858710958395,-0.19925959408283234,20.306991577148438,464.47508208453655,13.231743812561035,11.267348289489746,6.161871433258057,0.0,6.161871433258057,6.161871433258057,6.161871433258057,6.161871433258057,6.161871433258057,5.644358730316162,3.1865338832376677,2.0551304817199707,9.579486846923828,28.22179365158081,2.0551304817199707,4.027498245239258,6.0,2.0,0.0,0.0,1.0,0.0,0.12164096982026096,0.3786665575026396,2.9982872075845473
5,The clock is ticking; we need to hurry.,clock,passage of time,4.315850903725949,3.656753202982637,0.19751230186183985,13.842527340040313,43.15850903725949,2.5691103145088587,3.712659381362637,5.416260878205695,7.065445800336952,6.931020557033451e-06,34.68934898498837,259.9805221538734,7.650647718871095,2.6940608838878477,3.470455338356526,0.0,3.470455338356526,3.470455338356526,3.470455338356526,3.470455338356526,3.470455338356526,4.799773563835193,3.9047040146328054,0.19751230186183985,13.842527340040313,38.39818851068154,0.19751230186183985,4.287154645475614,0.0,6.0,0.0,0.0,1.0,0.0,0.0804118449819576,0.2507096611121029,17.5708313135053,8.176042095045455,4.2873362615878685,0.7523479549946487,17.141690682316796,81.76042095045455,7.188144201340874,8.15932145654784,8.914149279759666,8.978790032432643,0.05267925186035035,41.46331197278227,427.879165428464,14.709349172010754,5.945497922817332,7.9331679736557765,0.0,7.9331679736557765,7.9331679736557765,7.9331679736557765,7.9331679736557765,7.9331679736557765,8.769632580083792,4.480960485753368,0.7523479549946487,17.141690682316796,70.15706064067034,0.7523479549946487,8.84117884204928,0.0,6.0,0.0,0.0,1.0,0.0,0.09702944140249894,0.46279962231727567,10.54454647080446,3.833690881729126,1.839943209736508,0.8034758567810059,7.6353325843811035,38.33690881729126,4.269906997680664,3.8648706674575806,1.920143672519771,1.962613465160558,8.307368261739612e-05,7.6353325843811035,92.166896280949,0.0469135157763958,1.4489690065383911,7.6353325843811035,0.0,7.6353325843811035,7.6353325843811035,7.6353325843811035,7.6353325843811035,7.6353325843811035,3.333385169506073,1.4730352094097636,0.8034758567810059,5.94284725189209,26.667081356048584,2.6156604290008545,3.315705418586731,1.0,7.0,1.0,1.0,1.0,0.0,0.19916401243433865,1.0,9.502877429286812,8.386624145507813,2.005394967102432,6.389263153076172,12.962654113769531,83.86624145507812,7.443285942077637,7.515000581741333,10.301243218969791,4.632071318236479,2.059455394744873,20.361875534057617,484.1584312915802,18.744033813476562,10.45998477935791,7.246076583862305,0.0,7.246076583862305,7.246076583862305,7.246076583862305,7.246076583862305,7.246076583862305,8.629181206226349,2.17384208522398,6.389263153076172,12.962654113769531,69.03344964981079,12.962654113769531,7.917847156524658,6.0,0.0,0.0,0.0,1.0,0.0,0.08640039732487084,0.5589963691282317,1.1341020725329825
6,The canvas tells a story of passion and creativity.,canvas,work of art,6.209538638055111,5.66135339783903,0.33310941870337035,16.78791189052645,62.09538638055111,12.232620458205805,4.1819413920754105,5.272976665292703,6.976638244917229,7.184145508210135e-05,33.773459137156586,242.55692660346432,0.07389286775988062,2.5530349531938477,12.755480377163085,0.0,12.755480377163085,12.755480377163085,12.755480377163085,12.755480377163085,12.755480377163085,5.962283977918823,5.660223489704149,0.33310941870337035,16.78791189052645,47.69827182335058,1.033927404895428,4.112807207821483,0.0,3.0,0.0,0.0,1.0,0.0,0.20541752166563904,0.7598014845646828,38.292163658457454,9.963745847229259,6.5023465914928416,1.0727031145896997,20.087491822088687,99.63745847229258,17.837710620059926,8.609582574459594,8.654263872528922,8.892266621510027,0.05277085781703925,40.558650173456925,398.09613813633047,0.30112978314297356,6.301441984939282,17.79565508129532,0.0,17.79565508129532,17.79565508129532,17.79565508129532,17.79565508129532,17.79565508129532,9.543717766943635,6.519767613900599,1.0727031145896997,20.087491822088687,76.34974213554908,3.9102454663058452,8.292424863968378,0.0,3.0,0.0,0.0,1.0,0.0,0.17860406471772838,0.8859072719933502,16.589543592499044,3.6046448826789854,1.9590827322422304,1.5392817258834839,7.635335922241211,36.046448826789856,2.5420496463775635,2.7817777395248413,1.857036127662033,2.026991126091768,0.0006652172887697816,7.635335922241211,85.42366187245352,0.3563367426395416,1.2026971578598022,7.635335922241211,0.0,7.635335922241211,7.635335922241211,7.635335922241211,7.635335922241211,7.635335922241211,3.0323604494333267,1.5497442037707392,1.5392817258834839,5.942853927612305,24.258883595466614,3.021505832672119,2.479876756668091,1.0,4.0,1.0,1.0,1.0,0.0,0.21181936558939476,1.0,4.960323892534256,8.41383981704712,1.94922797733061,4.561549186706543,11.22102165222168,84.13839817047119,7.59395694732666,8.858356952667236,10.467265775468615,4.284074452319728,2.1917171478271484,20.905683517456055,471.02695989608765,9.054437637329102,10.385315895080566,6.11060905456543,0.0,6.11060905456543,6.11060905456543,6.11060905456543,6.11060905456543,6.11060905456543,8.700014352798462,2.0010830448410504,4.561549186706543,11.22102165222168,69.6001148223877,9.51563835144043,9.34067153930664,4.0,0.0,0.0,0.0,1.0,0.0,0.0726256880025793,0.5445679764244616,1.339590740876635
7,He sold his car for a song.,song,Pittance,4.483588342436777,2.811642890382688,1.1972664221338805,9.211160614924289,35.868706739494215,2.100845334755417,3.5997362070887076,5.434168040653375,6.800716991258725,7.18433857699947e-05,33.97167694067853,260.840065951362,0.2158727278428564,2.844483542240675,1.1972664221338805,0.0,1.1972664221338805,1.1972664221338805,1.1972664221338805,1.1972664221338805,1.1972664221338805,4.875435352501378,2.905363893132236,2.100845334755417,9.211160614924289,29.252612115008265,3.90749211071617,3.5997362070887076,0.0,6.0,0.0,0.0,1.0,0.0,0.033379135490703316,0.12997997453155055,1.0,8.940190138382542,3.4293004813539634,4.133242449801808,13.830659690072466,71.52152110706034,6.436696515543906,8.24297090178183,9.09435081992891,8.631572473500919,0.052770861161801914,40.752683859052276,436.52883935658764,0.9474176435383043,6.907552842275351,4.133242449801808,0.0,4.133242449801808,4.133242449801808,4.133242449801808,4.133242449801808,4.133242449801808,9.357616648388069,3.281960935837166,5.754851210195078,13.830659690072466,56.145699890328416,9.316538018907558,8.24297090178183,5.0,6.0,0.0,0.0,1.0,0.0,0.057790192180263766,0.2988463704857561,1.0,3.866516649723053,1.3803957289514814,2.2008819580078125,5.94284725189209,30.932133197784424,2.4749715328216553,3.8245677947998047,1.9807118830394757,1.8938059819224584,0.0006652320735156536,7.633382797241211,95.07417038589483,0.6058748960494995,1.5741723775863647,3.635261058807373,0.0,3.635261058807373,3.635261058807373,3.635261058807373,3.635261058807373,3.635261058807373,4.18266503016154,1.4033544386434469,2.2690813541412354,5.94284725189209,25.09599018096924,5.037212371826172,4.525543451309204,0.0,7.0,0.0,0.0,1.0,0.0,0.11752377489011187,0.611703600096734,1.6517292286306564,8.065256953239441,2.531336930904452,3.472736358642578,12.729562759399414,64.52205562591553,3.472736358642578,8.565336227416992,9.706929520089576,4.957779656434051,0.531335175037384,21.74317169189453,456.22568744421005,3.2906837463378906,9.3879976272583,12.729562759399414,0.0,12.729562759399414,12.729562759399414,12.729562759399414,12.729562759399414,12.729562759399414,7.237586498260498,2.0536277338076223,3.472736358642578,9.363065719604492,43.42551898956299,6.782351970672607,7.773025274276733,6.0,4.0,1.0,1.0,1.0,0.0,0.19729009926780042,1.0,3.665571308838181
8,The new blood in the IT department shows enthusiasm.,new blood,New Employee,7.4535383849156736,4.74583295195412,0.8642505025912262,16.955320502757502,74.53538384915673,1.5817036338002295,7.515282354919325,6.39500495542599,7.391555048749747,7.18433857699947e-05,33.359555804247265,306.96023786044753,0.0004457982486671629,3.4627214205035717,10.42265874576851,2.2086595686033714,8.213999177165139,12.631318314371882,20.84531749153702,8.213999177165139,10.42265874576851,7.546545122146927,4.69593033374594,1.5817036338002295,16.955320502757502,52.82581585502849,10.227467326543682,6.816565532673511,4.0,3.0,0.0,0.0,1.0,0.0,0.27967008976197627,0.7449766763369414,9.504187909104639,11.668909867523588,5.13741611971069,2.535377516938954,21.08900363130704,116.6890986752359,4.986795500697676,11.693154118670105,10.116045441387966,9.190776535385206,0.052770861161801914,40.152574088307944,485.5701811866224,0.05356671748637377,8.811075107345085,14.805845319842504,1.5692339709044054,13.2366113489381,16.37507929074691,29.61169063968501,13.2366113489381,14.805845319842504,12.077432931230275,4.70159660482453,4.986795500697676,21.08900363130704,84.54203051861192,15.43744248860168,11.640644682612747,4.0,3.0,0.0,0.0,1.0,0.0,0.2537656985602314,0.7764747722096166,5.220765452286216,4.516834795475006,1.8222579331079876,1.9247616529464722,7.6353325843811035,45.16834795475006,5.967143535614014,3.972350835800171,2.263067734475044,2.173924343444208,0.0006652320735156536,7.6353325843811035,108.6272512548021,0.0034828511998057365,1.6547240614891052,7.190102577209473,0.44523000717163086,6.744872570037842,7.6353325843811035,14.380205154418945,6.744872570037842,7.190102577209473,3.806618298803057,1.4562950345196706,1.9247616529464722,5.967143535614014,26.6463280916214,2.704029083251953,3.1739509105682373,1.0,9.0,1.0,1.0,1.0,0.0,0.3183690749288667,1.0,3.504263792720842,5.40574893951416,4.1591863044835815,-0.9010934829711914,12.448095321655273,54.0574893951416,6.804023742675781,4.686697721481323,9.130656085115797,5.096388009850237,-2.8158411979675293,19.397266387939453,429.1408360004425,12.204936981201172,9.447319030761719,1.3376493453979492,1.9354486465454102,-0.5977993011474609,3.2730979919433594,2.6752986907958984,3.2730979919433594,1.3376493453979492,6.082642827715192,4.099550648261505,-0.9010934829711914,12.448095321655273,42.57849979400635,4.259230136871338,5.040321350097656,9.0,4.0,0.0,0.0,0.0,0.0,0.049489880509255395,0.26293966324706153,0.6634154085504278
9,The kettle is boiling.,kettle,water,6.0229032716918764,5.288397682470014,1.5888441484625404,16.28273139818372,30.114516358459383,4.155260533664714,4.155260533664714,5.497903618148597,7.394085100854945,7.184145508210135e-05,36.74928748718433,225.41404834409246,3.302509509515775,2.819007178739032,1.5888441484625404,0.0,1.5888441484625404,1.5888441484625404,1.5888441484625404,1.5888441484625404,1.5888441484625404,8.123470558777376,5.872240678305881,2.7041898892615785,16.28273139818372,24.370411676332125,2.7041898892615785,5.383490388886828,0.0,1.0,0.0,0.0,1.0,0.0,0.052760075225854415,0.09757847805803455,1.0,10.037463802356259,5.106525944525751,4.624390595963701,19.58228515089152,50.18731901178129,8.572482640018645,8.572482640018645,9.091987017546407,9.184515386805021,0.05277085781703925,43.517687231406,372.77146771940266,9.516794752215478,7.534716779594669,4.624390595963701,0.0,4.624390595963701,4.624390595963701,4.624390595963701,4.624390595963701,4.624390595963701,12.330148591932982,5.265177873973321,7.241878696899244,19.58228515089152,36.990445775798946,7.241878696899244,10.166281928008182,0.0,1.0,0.0,0.0,1.0,0.0,0.09214261066382409,0.2361517340969354,1.0,4.928594350814819,1.6941120443625393,2.991154432296753,7.635336875915527,24.642971754074097,3.4664268493652344,4.6072001457214355,1.9993761720465177,2.1268511790913607,0.0006652173469774425,7.635336875915527,81.97442305390723,0.3739831745624542,1.2518211603164673,7.635336875915527,0.0,7.635336875915527,7.635336875915527,7.635336875915527,7.635336875915527,7.635336875915527,4.513736009597778,1.2068370319358463,2.991154432296753,5.9428534507751465,13.541208028793335,4.6072001457214355,4.6072001457214355,1.0,4.0,1.0,1.0,1.0,0.0,0.3098383162596133,1.0,2.5526388050959796,8.216525268554687,1.0412009454177258,6.952485084533691,9.294445991516113,41.08262634277344,7.016084671020508,8.550323486328125,10.536134887579829,5.537736602598216,-1.4223856925964355,23.665220260620117,421.44539550319314,16.80961799621582,10.662344932556152,8.550323486328125,0.0,8.550323486328125,8.550323486328125,8.550323486328125,8.550323486328125,8.550323486328125,8.505406061808268,1.0981289886536456,6.952485084533691,9.294445991516113,25.516218185424805,9.294445991516113,9.269287109375,3.0,0.0,0.0,0.0,1.0,0.0,0.20812504573072782,0.9199390145612534,1.2298226292277765
