Index,Sentence,Target Word (Noun),log_prob,oddballness,confidence,Document URL
0,The 76mm cannon also had the benefit of using the same shells as the 3-inch field gun which facilitated supply.,gun,-4.288497674614191,0.5177280902862549,0.440426230430603,https://en.wikipedia.org/wiki/Garford-Putilov%20Armoured%20Car
1,"Laonikos Chalkokondyles (1430–1470) was a Byzantine Greek historian from Athens whose Proofs of Histories encompasses the last 150 years of the Byzantine empire, covering 1298–1463. (",historian,-3.122067476593086,0.3189598619937897,0.4679359793663025,https://en.wikipedia.org/wiki/List%20of%20sources%20for%20the%20Crusades
2,"In 1949, NHSN became the official bird-ringing organization for the Farne Islands, and this work continues today.",organization,-3.9678400706213255,0.4239557981491089,0.41737157106399536,https://en.wikipedia.org/wiki/Natural%20History%20Society%20of%20Northumbria
3,Tallarico was the first composer to commercially release album compilations of video game music around the world.,composer,-3.6833029216532376,0.3576038181781769,0.47498980164527893,https://en.wikipedia.org/wiki/Tommy%20Tallarico
4,"it is eaten on new year's day because Koreans believe that if you eat a bowl of tteok-guk on the first of the lunar year, you get one year older.",bowl,-3.111958088856694,0.37627938389778137,0.5402091145515442,https://en.wikipedia.org/wiki/Korean%20cuisine
5,The flight crew started the engines at 8:04 pm.,engines,-3.532254157158045,0.45120006799697876,0.3883729875087738,https://en.wikipedia.org/wiki/TWA%20Flight%20800
6,"There is a variety of such food and drink competitions worldwide, where the taste and quality of products are assessed.",taste,-3.7069948713549157,0.3932633101940155,0.4140673279762268,https://en.wikipedia.org/wiki/Food%20competition
7,"There is one shallow man-made lake that often dries up in the summer or all year, especially during times of drought.",lake,-3.930062125325203,0.4656590223312378,0.5112795233726501,https://en.wikipedia.org/wiki/Cordes%20Lakes%2C%20Arizona
8,He is a violinist and composer who hears music in unusual sources such as the ambient noises of a train in the London Underground or the chirping of crickets.,violinist,-3.1398925684484174,0.3785810172557831,0.511419951915741,https://en.wikipedia.org/wiki/One%20Perfect%20Day%20%282004%20film%29
9,"Like the Parliaments' previous single, Poor Willie/Party Boys, this record highly sought after by P-Funk collectors.",record,-5.111747691837641,0.4463275969028473,0.3672559857368469,https://en.wikipedia.org/wiki/Lonely%20Island%20%28The%20Parliaments%20song%29
10,"Richard Leveridge (or Leueridge) (19 July 1670 – 22 March 1758) was an English bass singer of the London stage and a composer of baroque music, including many popular songs.",composer,-2.9283039613730377,0.29426124691963196,0.4374369978904724,https://en.wikipedia.org/wiki/Richard%20Leveridge
11,"One such was a mug depicting the tea party scene from the book, with a Cheshire Cat that disappeared when the mug was filled with a hot beverage.",mug,-3.700125250124162,0.3447231650352478,0.34108904004096985,https://en.wikipedia.org/wiki/Applixware
12,"According to Phil Wright (then lead singer, now lead singer of Phil Wright's Original 70s Paper Lace) the band initially questioned appearing.",band,-4.821804375787154,0.4662357270717621,0.3646980822086334,https://en.wikipedia.org/wiki/Paper%20Lace
13,Mishnah Yomit – MishnahYomit.com hosts a weekly publication complementing the learning of people studying the regular program.,publication,-4.844779022336006,0.4351648688316345,0.33855798840522766,https://en.wikipedia.org/wiki/Mishnah
14,"During their courtship, the couple visited Longue Vue, an old inn that overlooked the Hudson River.",inn,-3.3029964042916182,0.38707607984542847,0.47195449471473694,https://en.wikipedia.org/wiki/Edith%20Rosenwald%20Stern
15,A Burgundy historian Jean de Wavrin criticized him more bitterly than other Burgundians.,historian,-4.883799500763416,0.5016241669654846,0.49390125274658203,https://en.wikipedia.org/wiki/Richard%20Neville%2C%2016th%20Earl%20of%20Warwick
16,Revising speciesWilliston was also the first scientist to critically evaluate all of the pteranodon species classified by Cope and Marsh.,scientist,-4.4858915754433335,0.3939545154571533,0.36231809854507446,https://en.wikipedia.org/wiki/Pteranodon
17,"This deeper ""rock""-sounding voice on Once—as well as on the song ""In the Picture"" of the album Into the Light—was welcomed by critics as a refreshing change.",voice,-4.239141126238817,0.3241536021232605,0.37704750895500183,https://en.wikipedia.org/wiki/Tarja%20Turunen
18,"Mark Kaplan (born 30 December 1953, in Cambridge, Massachusetts) is an American violinist who studied at the Juilliard School under Dorothy DeLay.",violinist,-2.7719389310144575,0.3010864853858948,0.5046535134315491,https://en.wikipedia.org/wiki/Mark%20Kaplan%20%28musician%29
19,"Sri Lanka's most recently discovered bird, the Serendib scops owl was originally heard calling by Deepal Warakagoda in these forests.",owl,-4.2706161430610035,0.45358458161354065,0.4079682230949402,https://en.wikipedia.org/wiki/Kitulgala
20,He secured a needle in the supraclavicular fossa and attached tubing connected to a syringe through which he could inject incremental doses of local anesthetic.,syringe,-3.354489831545834,0.3089596629142761,0.49827325344085693,https://en.wikipedia.org/wiki/Brachial%20plexus%20block
21,The brain employs a computing paradigm that is fundamentally different from digital computers.,brain,-4.022758086078933,0.38633280992507935,0.3849260210990906,https://en.wikipedia.org/wiki/Kwabena%20Boahen
22,"The charango's ten strings require quite a large headstock, often approaching or even exceeding the size of its diminutive sound box.",strings,-4.072452190918503,0.5095940232276917,0.4640963673591614,https://en.wikipedia.org/wiki/Charango
23,The founding editor of the business newspaper Vedomosti interpreted the appointment of someone with such views as a sign that Russian President Vladimir Putin was becoming more ideological.,editor,-3.843339223001573,0.421438992023468,0.4833119809627533,https://en.wikipedia.org/wiki/Telegony%20%28theory%29
24,A pitcher filled with 8000 pearls has been found here.,pitcher,-4.572685195849492,0.49950769543647766,0.4375147521495819,https://en.wikipedia.org/wiki/Baror
25,"Tun demanded 1,800,000 strings of cash in compensation and the Tang agreed to pay this amount in gold and silk.",strings,-4.601150965461364,0.43171289563179016,0.39438703656196594,https://en.wikipedia.org/wiki/Uyghur%20Khaganate
26,A U.S. mechanical engineer or skilled worker who creates technical drawings may be referred to as a drafter or draftsman.,worker,-3.295645223427564,0.3385276198387146,0.4811643064022064,https://en.wikipedia.org/wiki/Mechanical%20engineering
27,The antelope masks are rough rectangular boxes with several horns coming out of the top.,horns,-4.348742080085418,0.4369896948337555,0.4199245572090149,https://en.wikipedia.org/wiki/Mask
28,Often web shells detect the user-agent and the content presented to the search engine spider is different from that presented to the user's browser.,shells,-4.650375017689334,0.44848865270614624,0.45036423206329346,https://en.wikipedia.org/wiki/Web%20shell
29,"Prissy floral-shirt-wearing product designer Charles Coote (Charles Hawtrey) has included a bidet in his latest range of designs, but W.C. objects to the manufacture of such ""dubious"" items.",designer,-4.733279012981802,0.3868517577648163,0.37298500537872314,https://en.wikipedia.org/wiki/Carry%20On%20at%20Your%20Convenience
30,"For example, in California, the East Bay Municipal Utility District sponsored the publication of a book on plants and landscapes for summer-dry climates.",publication,-3.956998831259885,0.39480894804000854,0.4417651295661926,https://en.wikipedia.org/wiki/Cactus
31,"Rosenberg argued that despite not having been born in Armenia, Khachaturian was ""essentially an Armenian composer whose music exhibits his Armenian roots"".",composer,-3.9976568855425536,0.4330183267593384,0.5195248126983643,https://en.wikipedia.org/wiki/Aram%20Khachaturian
32,Pongal - a boiled rice dish which comes in sweet and spicy varieties.,dish,-3.6579846618697047,0.39979302883148193,0.4550742506980896,https://en.wikipedia.org/wiki/Malaysian%20cuisine
33,"His life ended prematurely, when a leaking gas pipe caused him to asphyxiate during his sleep.",pipe,-3.743899480290046,0.5026057958602905,0.5745736956596375,https://en.wikipedia.org/wiki/Fred%20Yates%20%28chess%20player%29
34,"Furthermore, the organization created and controlled negative media meant to undermine black power organizations.",media,-5.320425848709419,0.47562646865844727,0.39485371112823486,https://en.wikipedia.org/wiki/COINTELPRO
35,"American rock band 311 also quote the lyrics in their song ""Who's Got the Herb"".",band,-4.231486110310805,0.32482975721359253,0.2707313895225525,https://en.wikipedia.org/wiki/Sleng%20Teng
36,There are also different ways to insert the needle into the stitch.,needle,-3.3603159292386127,0.38461267948150635,0.45251649618148804,https://en.wikipedia.org/wiki/Knitting
37,Leopold's sister Clara was a pianist who studied with Clara Schumann and with Franz Liszt.,pianist,-2.9203768348525045,0.3126702308654785,0.4777225852012634,https://en.wikipedia.org/wiki/Leopold%20Graf%20von%20Kalckreuth
38,"On September 28, 2016, Warner endorsed Democratic presidential candidate Hillary Clinton over Donald Trump, praising Clinton's record of bipartisan cooperation.",record,-3.533989184386363,0.3499327003955841,0.4969760775566101,https://en.wikipedia.org/wiki/John%20Warner
39,"It read: ""The architecture reminds one of a quaint Tuscan beet farm, and the natural aroma of the beets drifts into the bedrooms and makes you dream of simpler times.",aroma,-4.458705008324122,0.43288999795913696,0.4656294286251068,https://en.wikipedia.org/wiki/Dwight%20Schrute
