Index,Sentence,Target Word (Noun),log_prob,oddballness,confidence,Document URL
0,The 76mm cannon also had the benefit of using the same shells as the 3-inch field gun which facilitated supply.,gun,-4.533458232842386,0.523203432559967,0.4007183015346527,https://en.wikipedia.org/wiki/Garford-Putilov%20Armoured%20Car
1,"Laonikos Chalkokondyles (1430–1470) was a Byzantine Greek historian from Athens whose Proofs of Histories encompasses the last 150 years of the Byzantine empire, covering 1298–1463. (",historian,-3.4316984048551498,0.29452794790267944,0.37887582182884216,https://en.wikipedia.org/wiki/List%20of%20sources%20for%20the%20Crusades
2,"In 1949, NHSN became the official bird-ringing organization for the Farne Islands, and this work continues today.",organization,-4.204649328755645,0.4104260206222534,0.35641759634017944,https://en.wikipedia.org/wiki/Natural%20History%20Society%20of%20Northumbria
3,Tallarico was the first composer to commercially release album compilations of video game music around the world.,composer,-4.097502919401796,0.3712333142757416,0.4167400598526001,https://en.wikipedia.org/wiki/Tommy%20Tallarico
4,"it is eaten on new year's day because Koreans believe that if you eat a bowl of tteok-guk on the first of the lunar year, you get one year older.",bowl,-3.3310438293485425,0.3791995942592621,0.5061241388320923,https://en.wikipedia.org/wiki/Korean%20cuisine
5,The flight crew started the engines at 8:04 pm.,engines,-3.530556697111863,0.40031877160072327,0.32874417304992676,https://en.wikipedia.org/wiki/TWA%20Flight%20800
6,"There is a variety of such food and drink competitions worldwide, where the taste and quality of products are assessed.",taste,-3.478394447825849,0.3335874676704407,0.34779471158981323,https://en.wikipedia.org/wiki/Food%20competition
7,"There is one shallow man-made lake that often dries up in the summer or all year, especially during times of drought.",lake,-4.01336933106184,0.46690699458122253,0.43808746337890625,https://en.wikipedia.org/wiki/Cordes%20Lakes%2C%20Arizona
8,He is a violinist and composer who hears music in unusual sources such as the ambient noises of a train in the London Underground or the chirping of crickets.,violinist,-3.259707538735573,0.3233315050601959,0.41498807072639465,https://en.wikipedia.org/wiki/One%20Perfect%20Day%20%282004%20film%29
9,"Like the Parliaments' previous single, Poor Willie/Party Boys, this record highly sought after by P-Funk collectors.",record,-5.40150053297671,0.44153207540512085,0.28306397795677185,https://en.wikipedia.org/wiki/Lonely%20Island%20%28The%20Parliaments%20song%29
10,"Richard Leveridge (or Leueridge) (19 July 1670 – 22 March 1758) was an English bass singer of the London stage and a composer of baroque music, including many popular songs.",composer,-3.1776953884296946,0.30592748522758484,0.37772607803344727,https://en.wikipedia.org/wiki/Richard%20Leveridge
11,"One such was a mug depicting the tea party scene from the book, with a Cheshire Cat that disappeared when the mug was filled with a hot beverage.",mug,-3.646962938770171,0.29342177510261536,0.2913261353969574,https://en.wikipedia.org/wiki/Applixware
12,"According to Phil Wright (then lead singer, now lead singer of Phil Wright's Original 70s Paper Lace) the band initially questioned appearing.",band,-4.91767790853367,0.46398016810417175,0.34184321761131287,https://en.wikipedia.org/wiki/Paper%20Lace
